complicate,"(더)복잡하게 만들다, 악화시키다",st22E
impoverishment,"빈관화, 궁핍화",st22E
unrest,"불안, 불만",st22E
subsidize,보조금을 주다,st22E
emulate,모방하다,st22E
degradation,"악화, 하락",st22E
pose,"(위협, 문제 등을) 야기하다",st22E
accentuate,"눈에 띄게 하다, 두드러지게 하다, 강조하다",st22E
surplus,"여분의, 잉여의",st22E
dismantle,해체하다,st22E
orchestrate,"조직하다, 조정하다",st22E
make room for,~을 위해 자리를 만들다,st22E
determine,"알아내다, 밝히다, 결정하다",st22E
transcend,"   초월하다, 능가하다",st22EP
appetitve ,"식욕의, 욕구의",st22EP
noticeable,"현저한, 뚜렷한",st22EP
stimuli,stimulus(자극)의 복수형,st22EP
urge,"충동, 욕구",st22EP
unrestrained,억제되지 않은,st22EP
gratification,만족감,st22EP
sate,충분히 만족시키다,st22EP
circuit,회로,st22EP
prefrontal cortex,전두엽 피질,st22EP
modulate,조절하다,st22EP
clinical,임상의,st22EP
fluctuate,변동하다,st22EP
fluctuation,"변동, 요동",st22EP
stochastic noise,확률적 잡음(임의적인 변동이나 측정상의 오류로서 모형화할 수 없는 데이터),st22EP
non-trivial,"상당한, 사소하지 않은",st22EP
sequence,"연속, 잇달아 일어남",st22EP
coupling,"결합, 연결",st22EP
trivial,사소한,st22EP
