respective,"각자의, 각각의",st22EP
ostentatiously,보란 듯이,st22EP
exponentially,기하급수적으로,st22EP
department,부서,st22EP
appointed,정해진,st22EP
resolve,해결하다,st22EP
outset,"시작점, 출발점",st22EP
at the outset of,~의 처음에,st22EP
cooperation,"협조, 협력",st22EP
cupboard,벽장,st22EP
aisle,"통로, 복도",st22EP
apron,앞치마,st22EP
crash helment,안전모,st22EP
iron,다림질하다,st22EP
take ~ into account,~을 고려하다,st22EP
criminal,"형사의, 형법의",st22EP
civil,"민사의, 시민의",st22EP
pluralistic,다민족의,st22EP
ethnic,민족의 ,st22EP
ethnic minorities,<복수형 단수형으로 바꾸기> 소수민족,st22EP
defense,"항변, 방어",st22EP
mirror,반영하다,st22EP
conventional,"전래의, 전통의, 관습적인",st22EP
favor ~ over ...,...보다 ~을 장려하다[선호하다],st22EP
anarchy,무정부 상태,st22EP
exemption,면제,st22EP
conform to,~에 부합하다,st22EP
accomodation,수용,st22EP
assimilation,"동화, 통합",st22EP
original,"독창적인, 창의적인",st22EP
opennsee,"개방성, 마음이 열려있음",st22EP
conscientiousness,성실성,st22EP
academic pursuit,면학,st22EP
persevering,"인내심있는, 인내심이 강한",st22EP
punctual,시간을 잘 지키는,st22EP
improvisational,즉흥적인,st22EP
inhibit,억제하다,st22EP
spontaneity,"즉흥성, 자발성",st22EP
prescribed,"(미리) 정해진, 처방된",st22EP
seek to,~하고자 하다,st22EP
explanation,설명,st22EP
driving,추진하는,st22EP
comparable,비슷한,st22EP
venting,분출,st22EP
bring about,~을 가져오다[야기하다],st22EP
grade point average,평균 평점(=GPA),st22EP
