deftly,"솜씨 좋게, 교묘하게",PoliceUniv20
rudimentary,"가장 기본[기초]적인, 제대로 발달하지 못한",PoliceUniv20
covertly,"은밀히, 살며시",PoliceUniv20
invariably,"변함 없이, 언제나",PoliceUniv20
haphazardly,"우연히, 무턱대고, 되는대로",PoliceUniv20
antiquarianism,골동품 연구,PoliceUniv20
supersede,대체하다,PoliceUniv20
pharaonic,"파라오의, 거대한, 화려한, 장대한",PoliceUniv20
entirely,"전체, 전부",PoliceUniv20
logging,벌목,PoliceUniv20
catastrophically,"대이변으로, 파멸로, 비극으로",PoliceUniv20
hit the ground running,(성공적으로) 잘[잘 되어] 나가다,PoliceUniv20
stumble,"발을 헛디디다, 비틀거리다, 더듬거리다",PoliceUniv20
legislative,입법의,PoliceUniv20
debacle,"대실패, 큰 낭패",PoliceUniv20
a succession of,일련의,PoliceUniv20
agile,"날렵한, 민첩한, 재빠른, 기민한",PoliceUniv20
transformational,"변형의, 변화의",PoliceUniv20
fully fledged,"완전히 발달한, 필요한 자격을 다 갖춘",PoliceUniv20
eminence,명성,PoliceUniv20
rigor,"엄격, 엄격함",PoliceUniv20
wiggle room,자유재량권,PoliceUniv20
veracity,진실성,PoliceUniv20
integrity,진실성 + 온전함,PoliceUniv20
pollster,여론조사 요원,PoliceUniv20
consistently,지속적으로,PoliceUniv20
fertile,"생식력 있는, 가임의",PoliceUniv20
sterile,불임의 + 소독한,PoliceUniv20
methodology,방법론,PoliceUniv20
deadly,"생명을 앗아가는(=lethal), 치명적인",PoliceUniv20
constitutional,"헌법의, 합헌의",PoliceUniv20
in the short run,단기적으로,PoliceUniv20
obsolete,"더이상 쓸모가 없는, 한물간, 구식의",PoliceUniv20
temporary,"일시적인, 임시의",PoliceUniv20
compulsory,"강제적인, 의무적인, 필수의",PoliceUniv20
adjunctive,부속의,PoliceUniv20
arousal,"각성, 환기, 자극, 흥분",PoliceUniv20
mobilize,동원하다,PoliceUniv20
alternate,번갈아 생기는[나오는],PoliceUniv20
intellectual,"지능의, 지적인",PoliceUniv20
compilation,모음집,PoliceUniv20
aftermath,"여파, 영향",PoliceUniv20
ancestral,조상의,PoliceUniv20
multifaceted,다면적인,PoliceUniv20
oeuvre,일생의 작품,PoliceUniv20
garner,"(정보, 지지 등을) 얻다[모으다]",PoliceUniv20
acclaim,"찬사 + 칭송하다, 환호를 보내다",PoliceUniv20
autobiography,자서전,PoliceUniv20
doctorate,박사학위,PoliceUniv20
in short,요컨데,PoliceUniv20
commodity,상품,PoliceUniv20
intention,"의사, 의도, 목적",PoliceUniv20
tyrannize,"압제하다, 폭군같이 굴다",PoliceUniv20
love-hate relationship,애증의 관계,PoliceUniv20
masquerade,가장하다,PoliceUniv20
squeaky,끼익 소리가 나는,PoliceUniv20
grease,"기름, 그리스",PoliceUniv20
multiplicity,"다수, 다양성",PoliceUniv20
ledger,"(은행, 사업체 등에서) 거래 내역을 적은 원장",PoliceUniv20
fraudulent,사기를 치는,PoliceUniv20
immutability,불변성,PoliceUniv20
pinpoint,정화히 기술[묘사]하다,PoliceUniv20
workforce,노동자 노동인구,PoliceUniv20
unprecedented,전례 없는,PoliceUniv20
stroll,거닐다 + 산책,PoliceUniv20
frighten,겁먹게[놀라게] 만들다,PoliceUniv20
fascination,"매력, 매혹, 매료됨",PoliceUniv20
chatter,수다를 떨다,PoliceUniv20
puzzled,어리둥절해하는,PoliceUniv20
chrip,"짹짹거리다, 재잘거리다",PoliceUniv20
convince,"납득시키다, 확신시키다, 설득하다, 믿게 하다",PoliceUniv20
be convinced that,~를 믿다,PoliceUniv20
judiciously,"분별(력) 있게, 사려 깊게",PoliceUniv20
evocative,"연상시키는, ~을 환기시키는",PoliceUniv20
ply,연장을 부지런히 쓰다,PoliceUniv20
denounce,"맹렬히 비난하다, 폄하하다",PoliceUniv20
despise,경멸하다,PoliceUniv20
proceeds,"수입, 매상",PoliceUniv20
needy,"(경제적으로) 어려운, 궁핍한",PoliceUniv20
patronize,"(윗사람 행세를 하며) 깔보는 듯한 태도로 대하다, 잘난체하다",PoliceUniv20
felids,고양이과 동물,PoliceUniv20
throne,"왕좌, 옥좌",PoliceUniv20
lengthen,"길게하다, 늘이다, 길어지다",PoliceUniv20
conquest,"정복, 점령지",PoliceUniv20
order,"정돈[정리]된 상태, 질서",PoliceUniv20
decree,"법령, 칙령, (법원의) 결정[판결]",PoliceUniv20
erect,"건립하다 + 발기한, 일어선",PoliceUniv20
commoner,평민,PoliceUniv20
back and forth,왔다갔다,PoliceUniv20
repercussion,영향,PoliceUniv20
tragedy,비극,PoliceUniv20
backward,"뒤의, 퇴보하는",PoliceUniv20
cite,인용하다,PoliceUniv20
ostracism,"외면, 배척",PoliceUniv20
breakdown,"고장, 실패, 결렬, 와해",PoliceUniv20
mortality,"사망률, 사망자 수",PoliceUniv20
sustained,"지속된, 한결같은, 일관된",PoliceUniv20
demographically,인구학적,PoliceUniv20
ubiquity,"도처에 있음, 편재(遍在)",PoliceUniv20
astronomer,천문학자,PoliceUniv20
subatomic,원자보다 작은,PoliceUniv20
analytic,분석적인,PoliceUniv20
holistic,전체론의,PoliceUniv20
trade-off,(서로 대립되는 요소 사이의) 균형,PoliceUniv20
assertiveness,단호한 태도,PoliceUniv20
mandatory,"법에 정해진, 의무적인",PoliceUniv20
boast,"뽐내다, 자랑하다",PoliceUniv20
subterranean,지하의,PoliceUniv20
acute,"예민한, 잘 발달된 + 급성의",PoliceUniv20
sentry,"보초, 감시자",PoliceUniv20
suspicious,"의심스러운, 수상쩍인",PoliceUniv20
fidelity,충실함,PoliceUniv20
festivity,"축제 행사, 축제 기분",PoliceUniv20
to do with,~와 관계가 있는,PoliceUniv20
evident,"분명한, 눈에 띄는",PoliceUniv20
judicious,"신중한, 판단력 있는",PoliceUniv20
preference,"선호(도), 애호",PoliceUniv20
