surge,급증,sw22
self-proclaimed,자칭의,sw22
formulate,만들어내다,sw22
explicit,"명백한, 분명한",sw22
mumble,중얼거리다,sw22
under one's breath,작은 목소리로,sw22
ground,(자녀에 대한 벌로) 외출하지 못하게 하다,sw22
serve a purpose,도움이 되다,sw22
solitary,"혼자하는, 고독한",sw22
admire,감탄하다,sw22
component,요소,sw22
baron,남작,sw22
come into play,작동하기 시작하다,sw22
respond to,~에 부응하다,sw22
persuasive,설득력있는,sw22
refer to,~를 지칭하다,sw22
with reference to,"~을 참고하여, ~과 관련하여",sw22
illegitimate,불법적인,sw22
exclusively,전적으로,sw22
by definition,"당연히, 정의상",sw22
settle,"해결하다, 해소하다",sw22
independently of,~과는 관계없이(=regardless of),sw22
identify A with B,A와 B를 동일시하다,sw22
differentiate,구별하다,sw22
grasp,이해하다,sw22
batch,"한 묵음, 한 벌",21093
company,"함께함, 동반",21093
appreciatively,"감사하며, 고마워하면서",21093
configuration,"배치, 배열",21093
engage in,~에 참여하다,21093
term,조건,21093
accountability,책임성,21093
consistent with,~와 일치하는,21093
disposition,성향,21093
premise,전제로 말하다,21093
irreversibly,뒤집을 수 없게,21093
induce,"유발하다, 유도하다",21093
insofar as,~하는 한,21093
geometrical,기하학의,21093
immeasurability,헤아릴[측정할] 수 없음,21093
namely,다시 말해,21093
sublime,숭고한,21093
governance,통치,21093
adminstration,행정,21093
citizenry,(일반) 시민,21093
taxation,과세,21093
maintenance,"보수, 유지",21093
utility,"(가스, 수도, 전화, 전기 등의) 공익사업",21093
supplant,대신하다,21093
substitute,대체자[물],21093
consequently,결과적으로,21093
substitution,"대신함, 대체",21093
impede,방해하다,21093
preparedness,준비태세,21093
pay off,성공하다,21093
fetus,태아,21093
adversarial,반대자의,21093
vigilant,경계하는,21093
whatever,뭐든지,21093
correspond,부합하다,21093
commonality,공통성,21093
better off,형편이 나아지다,21093
take place,일어나다,21093
extraction,추출,21093
replacement,보충 + 대체,21093
unforeseen,"예기치 않은, 뜻하지 않은, 의외의",21093
vastly,엄청나게,21093
tangible,유형의,21093
inference,추론,21093
intangible,무형의,21093
archaeological,고고학의,21093
archaeologist,고고학자,21093
mundane,보통의,21093
experimenter,실험자,21093
exclaim,소리치다,21093
associated with,~과 관련된,21093
supposedly,"아마도, 추정컨데",21093
interdependence,상호의존성,21093
internalise,내면화하다,21093
implication,영향,21093
reasoning,추론,21093
integral,(일부가 되어) 내장된,21093
premise,전제,21093
cumulative,"축적된, 누적의",21093
corpus,집적(集積),21093
simultaneously,동시에,21093
work out,산출해내다,21093
acceptance,수용,21093
outgrowth,"파생물, 결과물",21093
persist in,~을 (고집스럽게) 지속하다,21093
interfere with,~을 방해하다,21093
habituate to,~에 익숙해지다,21093
inspection,"검사, 조사",21093
